Company,Valuation,Valuation In Billions,Date Joined,Industry,City,Country,Continent,Year Founded,Fund Raised,Funding in Millions,Funding in Billions,Major Investor 1,Major Investor 2,Major Investor 3,Major Investor 4
Bytedance,$180B,180,07-04-2017,Artificial intelligence,Beijing,China,Asia,2012,$8B,8000,8,Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group
SpaceX,$100B,100,01-12-2012,Other,Hawthorne,United States,North America,2002,$7B,7000,7,Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures,
SHEIN,$100B,100,03-07-2018,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,$2B,2000,2,Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners,
Stripe,$95B,95,23-01-2014,Fintech,San Francisco,United States,North America,2010,$2B,2000,2,Khosla Ventures, LowercaseCapital, capitalG,
Klarna,$46B,46,12-12-2011,Fintech,Stockholm,Sweden,Europe,2005,$4B,4000,4,Institutional Venture Partners, Sequoia Capital, General Atlantic,
Canva,$40B,40,08-01-2018,Internet software & services,Surry Hills,Australia,Oceania,2012,$572M,572,0.572,Sequoia Capital China, Blackbird Ventures, Matrix Partners,
Checkout.com,$40B,40,02-05-2019,Fintech,London,United Kingdom,Europe,2012,$2B,2000,2,Tiger Global Management, Insight Partners, DST Global,
Instacart,$39B,39,30-12-2014,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2012,$3B,3000,3,Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund,
JUUL Labs,$38B,38,20-12-2017,Consumer & retail,San Francisco,United States,North America,2015,$14B,14000,14,Tiger Global Management,,,
Databricks,$38B,38,05-02-2019,Data management & analytics,San Francisco,United States,North America,2013,$3B,3000,3,Andreessen Horowitz, New Enterprise Associates, Battery Ventures,
Revolut,$33B,33,26-04-2018,Fintech,London,United Kingdom,Europe,2015,$2B,2000,2,index Ventures, DST Global, Ribbit Capital,
Epic Games,$32B,32,26-10-2018,Other,Cary,United States,North America,1991,$7B,7000,7,Tencent Holdings, KKR, Smash Ventures,
FTX,$32B,32,20-07-2021,Fintech,,Bahamas,North America,2018,$2B,2000,2,Sequoia Capital, Thoma Bravo, Softbank,
Fanatics,$27B,27,06-06-2012,E-commerce & direct-to-consumer,Jacksonville,United States,North America,2002,$4B,4000,4,SoftBank Group, Andreessen Horowitz, Temasek Holdings,
Chime,$25B,25,05-03-2019,Fintech,San Francisco,United States,North America,2013,$2B,2000,2,Forerunner Ventures, Crosslink Capital, Homebrew,
BYJU's,$22B,22,25-07-2017,Edtech,Bengaluru,India,Asia,2008,$4B,4000,4,Tencent Holdings, Lightspeed India Partners, Sequoia Capital India,
J&T Express,$20B,20,07-04-2021,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,2015,$5B,5000,5,Hillhouse Capital Management, Boyu Capital, Sequoia Capital China,
